region,dep_city,dep_Adress,dep_CC,dep_date,dep_time,dep_time_slot,Distance_To_Dep,arr_city,arr_Adress,arr_CC,arr_date,arr_time,arr_time_slot,Distance_From_Arrival,price,currency,distance_in_meters,duration,vehicle_make,vehicle_model
0,Paris,TotalEnergies,FR,20-01-23,0:30:00,4,4.464425178,Nantes,Stade de la Beaujoire,FR,20-01-23,4:20:00,4,4.721310035,32,EUR,370348,13800,,
0,Paris,Gare routière RATP - Juvisy RER,FR,20-01-23,7:40:00,1,18.58661032,Nantes,Gare de Rezé Pont-Rousseau,FR,20-01-23,11:40:00,1,2.762160643,25,EUR,380185,14400,RENAULT,CLIO
0,Paris,35 Rue de la Gare,FR,20-01-23,8:30:00,1,26.37910285,Nantes,"6 Route de la Chapelle-sur-Erdre, 44300 Nantes",FR,20-01-23,13:20:00,2,4.422381171,29,EUR,396878,17400,MERCEDES,CLASSE C
0,Paris,"Massy Gare TGV, Massy",FR,20-01-23,8:50:00,1,15.99343619,Nantes,"Le Cardo, Orvault",FR,20-01-23,12:30:00,2,5.416233484,27,EUR,360571,13200,PEUGEOT,2008
0,Paris,"24b Pl. de la Nation, Paris",FR,20-01-23,9:00:00,1,3.387711656,Nantes,"Gare Sud, Nantes",FR,20-01-23,13:00:00,2,0.876251433,31,EUR,382781,14400,PEUGEOT,807
0,Paris,Porte d'Orléans,FR,20-01-23,9:00:00,1,4.228081626,Nantes,Haluchère-Batignolles,FR,20-01-23,12:50:00,2,4.127774652,32,EUR,370929,13800,VOLKSWAGEN,TIGUAN
0,Paris,Villejuif louis aragon,FR,20-01-23,9:30:00,1,7.781714923,Nantes,Nantes Haluchère,FR,20-01-23,13:30:00,2,4.234647286,25,EUR,371777,14400,RENAULT,CLIO
0,Paris,"Montigny-le-Bretonneux, Montigny-le-Bretonneux",FR,20-01-23,9:40:00,1,23.92832321,Nantes,"Gare de Nantes, Nantes",FR,20-01-23,13:30:00,2,0.767260491,29,EUR,357689,13800,TOYOTA,RAV4
0,Paris,"14 Rue Jean Bleuzen, 92170 Vanves, France",FR,20-01-23,10:00:00,1,5.956831832,Nantes,"Saint-André-de-la-Marche, 49450 Sèvremoine, France",FR,20-01-23,13:50:00,2,44.12822103,23,EUR,370500,13800,,
0,Paris,"Mairie de Montreuil, Montreuil",FR,20-01-23,10:00:00,1,6.527897995,Nantes,"Centre commercial Auchan Saint Sebastien, 2 Rue Pierre Mendès France, 44230 Saint-Sébastien-sur-Loire",FR,20-01-23,14:20:00,2,5.380660337,30,EUR,390444,15600,TOYOTA,C-HR
0,Paris,"Massy Gare TGV, Massy",FR,20-01-23,10:00:00,1,15.99343619,Nantes,Lidl Nantes,FR,20-01-23,13:40:00,2,4.422381171,32,EUR,361693,13200,RENAULT,CAPTUR
0,Paris,"Pont de Suresnes, Paris, France",FR,20-01-23,11:40:00,1,9.092858205,Nantes,"Rte de Vannes, Saint-Herblain, France",FR,20-01-23,15:40:00,2,5.691525265,32,EUR,380430,14400,PEUGEOT,308
0,Paris,"Avia, Saint-Mandé",FR,20-01-23,11:50:00,1,4.811420429,Nantes,Mairie de Les Sorinières,FR,20-01-23,15:50:00,2,7.918316127,23,EUR,389064,14400,CITROEN,C3 PICASSO
0,Paris,Villiers-sur-Marne - Le Plessis-Trévise,FR,20-01-23,12:00:00,2,14.46565847,Nantes,Gare SNCF Nantes,FR,20-01-23,16:10:00,3,0.815094877,23,EUR,391131,15000,,
