region,dep_city,dep_date,dep_time,dep_time_slot,arr_city,arr_time,arr_time_slot,duration,nb_changes,train_name_1,train_name_2,standard_class_price,first_class_price
0,Paris,20-01-23,6:32,1,Nantes,8:54,1,8520,0,TGV Inoui,,50,54
0,Paris,20-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,37,58.4
0,Paris,20-01-23,6:59,1,Nantes,9:52,1,10380,1,TGV Inoui,SNCF,113,134.4
0,Paris,20-01-23,7:06,1,Nantes,11:15,1,14940,1,TGV Inoui,SNCF,104,146.5
0,Paris,20-01-23,7:18,1,Nantes,11:02,1,13440,0,Ouigo Classique,,19,0
0,Paris,20-01-23,7:37,1,Nantes,11:19,1,13320,1,SNCF,TGV Inoui,38,70
0,Paris,20-01-23,8:43,1,Nantes,12:52,2,14940,1,TGV Inoui,SNCF,113,173.4
0,Paris,20-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,95,139
0,Paris,21-01-23,6:03,1,Nantes,9:47,1,13440,1,TGV Inoui,SNCF,61.1,79.2
0,Paris,21-01-23,6:36,1,Nantes,11:15,1,16740,2,SNCF,SNCF,53.3,0
0,Paris,21-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,40,61.4
0,Paris,21-01-23,7:00,1,Nantes,11:54,1,17640,1,BlablacarBus,TGV Inoui,47.99,54.99
0,Paris,21-01-23,7:00,1,Nantes,13:52,2,24720,1,BlablacarBus,SNCF,27.99,49.39
0,Paris,21-01-23,7:06,1,Nantes,11:05,1,14340,2,TGV Inoui,SNCF,53,0
0,Paris,21-01-23,7:20,1,Nantes,11:02,1,13320,0,Ouigo Classique,,22,0
0,Paris,21-01-23,7:20,1,Nantes,11:19,1,14340,1,Ouigo Classique,TGV Inoui,35,40.5
0,Paris,21-01-23,7:31,1,Nantes,11:02,1,12660,1,TGV Inoui,Ouigo Classique,45,47
0,Paris,21-01-23,7:37,1,Nantes,11:19,1,13320,1,SNCF,TGV Inoui,55,78.5
0,Paris,21-01-23,7:44,1,Nantes,9:59,1,8100,0,Ouigo,,25,0
0,Paris,21-01-23,7:44,1,Nantes,11:15,1,12660,2,Ouigo,SNCF,43,69.2
0,Paris,21-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,42,46
0,Paris,21-01-23,7:48,1,Nantes,11:54,1,14760,2,TGV Inoui,SNCF,79,95.2
0,Paris,21-01-23,8:00,1,Nantes,12:54,2,17640,1,BlablacarBus,TGV Inoui,47.99,49.99
0,Paris,21-01-23,8:00,1,Nantes,15:04,2,25440,2,BlablacarBus,SNCF,27.99,49.39
0,Paris,21-01-23,8:43,1,Nantes,11:52,1,11340,1,TGV Inoui,SNCF,95,145.4
0,Paris,21-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,95,113
0,Paris,21-01-23,9:39,1,Nantes,12:54,2,11700,1,TGV Inoui,TGV Inoui,97,109
0,Paris,21-01-23,10:00,1,Nantes,17:52,3,28320,1,BlablacarBus,SNCF,31.99,53.39
0,Paris,21-01-23,10:06,1,Nantes,13:19,2,11580,1,TGV Inoui,TGV Inoui,60.5,67.5
0,Paris,21-01-23,10:30,1,Nantes,15:54,2,19440,1,BlablacarBus,TGV Inoui,33.99,35.99
0,Paris,21-01-23,10:30,1,Nantes,17:01,3,23460,1,BlablacarBus,Ouigo Classique,28.99,0
0,Paris,21-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,95,134
0,Paris,21-01-23,10:39,1,Nantes,14:44,2,14700,2,TGV Inoui,SNCF,89.7,126.8
0,Paris,21-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,104,173.4
0,Paris,21-01-23,11:06,1,Nantes,14:50,2,13440,1,SNCF,TGV Inoui,54.3,0
0,Paris,21-01-23,12:23,2,Nantes,14:19,2,6960,0,TGV Inoui,,42,46
0,Paris,21-01-23,12:31,2,Nantes,16:04,3,12780,1,TGV Inoui,SNCF,52,74
0,Paris,21-01-23,12:31,2,Nantes,16:04,3,12780,1,TGV Inoui,SNCF,54,150.2
0,Paris,21-01-23,12:42,2,Nantes,17:01,3,15540,0,Ouigo Classique,,19,0
0,Paris,21-01-23,12:47,2,Nantes,15:54,2,11220,1,Ouigo,TGV Inoui,44,46
0,Paris,21-01-23,12:47,2,Nantes,17:01,3,15240,1,Ouigo,Ouigo Classique,39,0
0,Paris,21-01-23,12:47,2,Nantes,17:52,3,18300,1,Ouigo,SNCF,63,84.4
0,Paris,21-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,35,42
0,Paris,21-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,46,62
0,Paris,21-01-23,13:35,2,Nantes,17:01,3,12360,1,TGV Inoui,Ouigo Classique,51,60
0,Paris,21-01-23,13:35,2,Nantes,17:52,3,15420,2,TGV Inoui,SNCF,77,130.4
0,Paris,21-01-23,14:18,2,Nantes,18:38,3,15600,1,TGV Inoui,SNCF,51,61
0,Paris,21-01-23,14:40,2,Nantes,19:50,3,18600,1,BlablacarBus,SNCF,44.99,63.99
0,Paris,21-01-23,14:43,2,Nantes,17:52,3,11340,1,TGV Inoui,SNCF,86,129.4
0,Paris,21-01-23,14:48,2,Nantes,16:53,3,7500,0,TGV Inoui,,46,99
0,Paris,21-01-23,14:48,2,Nantes,18:54,3,14760,2,TGV Inoui,SNCF,79,134.6
0,Paris,21-01-23,16:31,3,Nantes,19:46,3,11700,1,TGV Inoui,SNCF,61.1,97.2
0,Paris,21-01-23,16:39,3,Nantes,18:54,3,8100,0,TGV Inoui,,46,66
0,Paris,21-01-23,16:56,3,Nantes,19:53,3,10620,1,TGV Inoui,SNCF,86,152.4
0,Paris,21-01-23,17:15,3,Nantes,19:50,3,9300,1,TGV Inoui,SNCF,59,78.1
0,Paris,22-01-23,6:46,1,Nantes,11:52,1,18360,1,Ouigo,SNCF,37,58.4
0,Paris,22-01-23,7:00,1,Nantes,11:54,1,17640,1,BlablacarBus,TGV Inoui,33.99,36.99
0,Paris,22-01-23,7:20,1,Nantes,11:02,1,13320,0,Ouigo Classique,,16,0
0,Paris,22-01-23,7:31,1,Nantes,11:54,1,15780,3,TGV Inoui,SNCF,62.2,76.2
0,Paris,22-01-23,7:37,1,Nantes,11:19,1,13320,1,SNCF,TGV Inoui,38,69
0,Paris,22-01-23,7:44,1,Nantes,11:54,1,15000,1,Ouigo,TGV Inoui,38,41
0,Paris,22-01-23,8:00,1,Nantes,12:54,2,17640,1,BlablacarBus,TGV Inoui,30.99,33.99
0,Paris,22-01-23,8:00,1,Nantes,15:52,2,28320,1,BlablacarBus,SNCF,25.99,47.39
0,Paris,22-01-23,8:43,1,Nantes,11:52,1,11340,1,TGV Inoui,SNCF,57,82.4
0,Paris,22-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,35,39
0,Paris,22-01-23,9:39,1,Nantes,12:54,2,11700,1,TGV Inoui,TGV Inoui,48,53
0,Paris,22-01-23,9:57,1,Nantes,14:50,2,17580,2,TGV Inoui,TGV Inoui,104.4,112.8
